2011,3823,0.089006804,0.200437929,4319.49,384.464,2266.685,174.955
2012,3823,0.088463785,0.218391144,5190.056,459.132,2654.905,157.984
2013,3823,0.087956383,0.228535825,5877.902,516.999,2741.781,295.203
2014,3823,0.09102373,0.231730221,6420.963,584.46,3181.402,377.615
2015,3823,0.088657265,0.242879287,6664.53,590.859,3409.904,381.005
2016,3823,0.072128082,0.215959365,7100.674,512.158,3844.161,717.259
2017,3823,0.087412058,0.25702096,7796.064,681.47,3768.431,646.3
2018,3823,0.089806873,0.260455267,8662.288,777.933,4420.366,353.975
2019,3823,0.087489648,0.274573418,9844.559,861.297,4729.067,393.03
2020,3823,0.084232723,0.323423584,10357.483,872.439,4408.137,1212.822
2010,2836,0.10640206,3.090848363,43486,4627,19542,17422
2011,2836,0.075361666,2.247101891,48871,3683,29842,20641
2012,2836,0.080021364,2.054373522,54298,4345,35238,24061
2013,2836,0.076839319,2.466504854,66125,5081,44029,19401
2014,2836,0.074743874,2.425011754,69009,5158,43231,27026
2015,2836,0.096945904,3.357039187,71576,6939,43493,31382
2016,2836,0.099476979,3.755836576,77626,7722,47751,38085
2017,2836,0.024751732,1.005589431,79954,1979,54713,41678
2018,2836,0.126385208,3.896935933,66416,8394,53916,29304
2019,2836,0.131341384,3.378716071,59707,7842,50034,8911
2020,2836,0.115396835,2.67157043,62948,7264,53539,10647
2010,3674,0.16449799,0.846539938,4328.831,712.084,1129.114,2687.768
2011,3674,0.164352783,0.976179436,5277.635,867.394,1482.222,3592.462
2012,3674,0.115871137,0.76588248,5620.347,651.236,1454.988,3900.378
2013,3674,0.105533278,0.810588281,6381.75,673.487,1642.174,4682.912
2014,3674,0.091741755,0.685059899,6859.69,629.32,2101.793,2866.468
2015,3674,0.09867749,0.668847921,7062.178,696.878,1989.219,3028.928
2016,3674,0.108109654,0.817076929,7970.278,861.664,2804.66,4055.793
2017,3674,0.034399928,0.5192923,21141.294,727.259,10979.754,1047.838
2018,3674,0.073127049,0.936119974,20449.779,1495.432,9461.239,816.591
2019,3674,0.063714013,0.854496099,21392.641,1363.011,9683.453,648.322
2020,3674,0.056862619,0.79730457,21468.603,1220.761,9470.658,1055.86
2021,3674,0.026574292,0.616471828,52322.071,1390.422,14329.529,1977.964
2010,1311,0.069821531,1.045517241,43425,3032,19048,134
2011,1311,0.088067472,1.172678434,52051,4584,23058,295
2012,1311,0.032945322,0.330252517,60737,2001,29406,160
2013,1311,0.036212016,0.416340235,61637,2232,26244,1906
2014,1311,-0.096564913,-0.640849247,55952,-5403,27815,769
2015,1311,-1.226992888,-0.828074071,18842,-23119,14614,1467
2016,1311,-0.062391758,-0.610338836,22519,-1405,14840,1377
2017,1311,0.059483624,0.753757225,21922,1304,13131,1668
2018,1311,0.001853396,0.016736402,21582,40,12770,714
2019,1311,-0.196222455,-0.746428571,18107,-3553,13087,247
2020,1311,-0.381296093,-0.773638968,12746,-4860,12783,262
2010,3663,0.18638522,0.362946463,75183,14013,27392,25620
2011,3663,0.222753091,0.414029932,116371,25922,39756,25952
2012,3663,0.237033124,0.493058919,176064,41733,57854,29129
2013,3663,0.178922705,0.370930104,207000,37037,83451,40546
